ROC AUC,F1,precision,recall,accuracy,class_weight,batch_size,weight_decay,learning_rate,num_epochs
,0.0,0.0,0.0,0.0,,16,0.0,1e-05,2
,0.2857142857142857,1.0,0.16666666666666666,0.16666666666666666,,16,0.0,1e-05,3
,0.0,0.0,0.0,0.0,,16,0.0,1e-05,4
,0.0,0.0,0.0,0.0,,16,0.0,5e-05,2
,0.0,0.0,0.0,0.0,,16,0.0,5e-05,3
,0.0,0.0,0.0,0.0,,16,0.0,5e-05,4
,0.0,0.0,0.0,0.0,,16,0.3,1e-05,2
,0.0,0.0,0.0,0.0,,16,0.3,1e-05,3
,0.0,0.0,0.0,0.0,,16,0.3,1e-05,4
,0.0,0.0,0.0,0.0,,16,0.3,5e-05,2
,0.0,0.0,0.0,0.0,,16,0.3,5e-05,3
,0.0,0.0,0.0,0.0,,16,0.3,5e-05,4
,0.8,1.0,0.6666666666666666,0.6666666666666666,,32,0.0,1e-05,2
,0.0,0.0,0.0,0.0,,32,0.0,1e-05,3
,0.0,0.0,0.0,0.0,,32,0.0,1e-05,4
,0.0,0.0,0.0,0.0,,32,0.0,5e-05,2
,0.0,0.0,0.0,0.0,,32,0.0,5e-05,3
,0.0,0.0,0.0,0.0,,32,0.0,5e-05,4
,0.0,0.0,0.0,0.0,,32,0.3,1e-05,2
,0.0,0.0,0.0,0.0,,32,0.3,1e-05,3
,1.0,1.0,1.0,1.0,,32,0.3,1e-05,4
,0.0,0.0,0.0,0.0,,32,0.3,5e-05,2
,0.0,0.0,0.0,0.0,,32,0.3,5e-05,3
,0.0,0.0,0.0,0.0,,32,0.3,5e-05,4
,0.0,0.0,0.0,0.0,"{0: 1, 1: 1.0}",16,0.0,1e-05,2
,0.0,0.0,0.0,0.0,"{0: 1, 1: 1.0}",16,0.0,1e-05,3
,0.0,0.0,0.0,0.0,"{0: 1, 1: 1.0}",16,0.0,1e-05,4
,0.0,0.0,0.0,0.0,"{0: 1, 1: 1.0}",16,0.0,5e-05,2
,0.0,0.0,0.0,0.0,"{0: 1, 1: 1.0}",16,0.0,5e-05,3
,0.0,0.0,0.0,0.0,"{0: 1, 1: 1.0}",16,0.0,5e-05,4
,0.0,0.0,0.0,0.0,"{0: 1, 1: 1.0}",16,0.3,1e-05,2
,0.0,0.0,0.0,0.0,"{0: 1, 1: 1.0}",16,0.3,1e-05,3
,0.0,0.0,0.0,0.0,"{0: 1, 1: 1.0}",16,0.3,1e-05,4
,0.0,0.0,0.0,0.0,"{0: 1, 1: 1.0}",16,0.3,5e-05,2
,0.0,0.0,0.0,0.0,"{0: 1, 1: 1.0}",16,0.3,5e-05,3
,0.0,0.0,0.0,0.0,"{0: 1, 1: 1.0}",16,0.3,5e-05,4
,0.0,0.0,0.0,0.0,"{0: 1, 1: 1.0}",32,0.0,1e-05,2
,0.0,0.0,0.0,0.0,"{0: 1, 1: 1.0}",32,0.0,1e-05,3
,0.0,0.0,0.0,0.0,"{0: 1, 1: 1.0}",32,0.0,1e-05,4
,0.0,0.0,0.0,0.0,"{0: 1, 1: 1.0}",32,0.0,5e-05,2
,0.0,0.0,0.0,0.0,"{0: 1, 1: 1.0}",32,0.0,5e-05,3
,0.0,0.0,0.0,0.0,"{0: 1, 1: 1.0}",32,0.0,5e-05,4
,0.0,0.0,0.0,0.0,"{0: 1, 1: 1.0}",32,0.3,1e-05,2
,0.0,0.0,0.0,0.0,"{0: 1, 1: 1.0}",32,0.3,1e-05,3
,0.0,0.0,0.0,0.0,"{0: 1, 1: 1.0}",32,0.3,1e-05,4
,0.0,0.0,0.0,0.0,"{0: 1, 1: 1.0}",32,0.3,5e-05,2
,0.0,0.0,0.0,0.0,"{0: 1, 1: 1.0}",32,0.3,5e-05,3
,0.0,0.0,0.0,0.0,"{0: 1, 1: 1.0}",32,0.3,5e-05,4
